Nr,Recorded Date,What is your major?,Please select where you lived in before coming to Virginia Tech:,Please select your favorite hobby of the choices provided:,"Have you heard the song ""Hotline Bling"" by ""Drake""","Do you like the song ""Hotline Bling"" by ""Drake""","Have you heard the song ""Creep"" by ""Radiohead""","Do you like the song ""Creep"" by ""Radiohead""","Have you heard the song ""All of Me"" by ""John Legend""","Do you like the song ""All of Me"" by ""John Legend""","Have you heard the song ""My Heart Will Go On"" by ""Celine Dion""","Do you like the song ""My Heart Will Go On"" by ""Celine Dion""","Have you heard the song ""River Flows in You"" by ""Yiruma""","Do you like the song ""River Flows in You"" by ""Yiruma""","Have you heard the song ""Beauty and the Beast"" by ""Disney""","Do you like the song ""Beauty and the Beast"" by ""Disney""","Have you heard the song ""A Whole New World"" by ""Disney""","Do you like the song ""A Whole New World"" by ""Disney""","Have you heard the song ""Let it Go"" by ""Disney""","Do you like the song ""Let it Go"" by ""Disney""","Have you heard the song ""Hello"" by ""Adele""","Do you like the song ""Hello"" by ""Adele""","Have you heard the song ""Someone Like You"" by ""Adele""","Do you like the song ""Someone Like You"" by ""Adele""","Have you heard the song ""Wish You Were Here"" by ""Pink Floyd""","Do you like the song ""Wish You Were Here"" by ""Pink Floyd""","Have you heard the song ""Yesterday"" by ""The Beatles""","Do you like the song ""Yesterday"" by ""The Beatles""","Have you heard the song ""Eleanor R"" by ""by The Beatles""","Do you like the song ""Eleanor R"" by ""by The Beatles""","Have you heard the song ""Hey Jude"" by ""The Beatles""","Do you like the song ""Hey Jude"" by ""The Beatles""","Have you heard the song ""Don't Look Back in Anger"" by ""Oasis""","Do you like the song ""Don't Look Back in Anger"" by ""Oasis""","Have you heard the song ""Wonderwall"" by ""Oasis""","Do you like the song ""Wonderwall"" by ""Oasis""","Have you heard the song ""Clocks"" by ""Coldplay""","Do you like the song ""Clocks"" by ""Coldplay""","Have you heard the song ""Viva La Vida"" by ""Coldplay""","Do you like the song ""Viva La Vida"" by ""Coldplay""","Have you heard the song ""Snow"" by ""Red Hot Chili Peppers""","Do you like the song ""Snow"" by ""Red Hot Chili Peppers""","Have you heard the song ""Smooth"" by ""Santana""","Do you like the song ""Smooth"" by ""Santana""","Have you heard the song ""Careless Whisper"" by ""Wham!""","Do you like the song ""Careless Whisper"" by ""Wham!""","Have you heard the song ""Freebird"" by ""Lynyrd Skynyrd""","Do you like the song ""Freebird"" by ""Lynyrd Skynyrd""","Have you heard the song ""Tuesday's Gone"" by ""Lynyrd Skynyrd""","Do you like the song ""Tuesday's Gone"" by ""Lynyrd Skynyrd""","Have you heard the song ""Hotel California"" by ""The Eagles""","Do you like the song ""Hotel California"" by ""The Eagles""","Have you heard the song ""Master of Puppets"" by ""Metallica""","Do you like the song ""Master of Puppets"" by ""Metallica""","Have you heard the song ""Fade to Black"" by ""Metallica""","Do you like the song ""Fade to Black"" by ""Metallica""","Have you heard the song ""La La Land"" by ""City of Stars""","Do you like the song ""La La Land"" by ""City of Stars""","Have you heard the song ""November Rain"" by ""Guns n Roses""","Do you like the song ""November Rain"" by ""Guns n Roses""","Have you heard the song ""Stairway to Heaven"" by ""Led Zeppelin""","Do you like the song ""Stairway to Heaven"" by ""Led Zeppelin""","Have you heard the song ""Bohemian Rhapsody"" by ""Queen""","Do you like the song ""Bohemian Rhapsody"" by ""Queen""","Have you heard the song ""Don't Stop Me Now"" by ""Queen""","Do you like the song ""Don't Stop Me Now"" by ""Queen""","Have you heard the song ""Tiny Dancer"" by ""Elton John""","Do you like the song ""Tiny Dancer"" by ""Elton John""","Have you heard the song ""Piano Man"" by ""Billie Joel""","Do you like the song ""Piano Man"" by ""Billie Joel""","Have you heard the song ""People are Strange"" by ""The Doors"""
6,3/14/18 10:37,Computer Science,Southeast,sports,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
7,3/14/18 10:55,Computer Science,Northeast,sports,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8,3/14/18 10:58,Computer Science,Outside of United States,music,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,3/14/18 10:58,Computer Science,Outside of United States,music,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes
14,3/14/18 10:59,Computer Science,United States (other than Southeast or Northwest),art,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
15,3/14/18 10:59,Computer Science,Northeast,music,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
16,3/14/18 10:59,Math or CMDA,Northeast,music,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
17,3/14/18 10:59,Math or CMDA,Southeast,sports,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
18,3/14/18 10:59,Other Engineering,Outside of United States,music,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
19,3/14/18 10:59,Other,Northeast,reading,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
20,3/14/18 10:59,Computer Science,Northeast,music,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No
21,3/14/18 10:59,Computer Science,Southeast,music,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
22,3/14/18 10:59,Computer Science,Southeast,sports,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No
23,3/14/18 10:59,Computer Science,Northeast,sports,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
24,3/14/18 10:59,Computer Science,Northeast,art,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
25,3/14/18 10:59,Math or CMDA,Northeast,sports,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
26,3/14/18 10:59,Math or CMDA,Northeast,sports,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No